"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","mentioned_rule"
"66b5172c8f0bd3b23ce66c22","Bag",4,"Mirror",4,"Rabbit",4,"left",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",FALSE
"5ba60abd9629a90001b36fdc","Paints",1,"Window",5,"Doughnut",5,"right",FALSE,"right",TRUE,1,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",FALSE
"65dc99d0191a135ab835bf69","Sand",3,"Train",4,"Towels",4,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","right",TRUE,FALSE,FALSE,"middle","middle",FALSE
"60fe7bf61c7567f5cca9ade6","Sheep",5,"Pig",2,"Scissors",2,"left",FALSE,"left",TRUE,1,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",TRUE
"5c9d88bb2b3c77001744ec1c","Helicopter",2,"Cake",1,"Zebra",1,"right",FALSE,"right",TRUE,1,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",FALSE
"5e283f576dbb560114ac7714","Lion",3,"Stool",5,"Bow",5,"middle",FALSE,"left",TRUE,1,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","middle",FALSE
"62e02b1ed5b0fbc1b1dc09e7","Marker",1,"Wing",3,"Popsicle",3,"middle",FALSE,"middle",FALSE,1,FALSE,TRUE,FALSE,"right","right",TRUE,FALSE,FALSE,"middle","middle",FALSE
"5ecf9b46617a9b3dd56b3fe3","Belt",5,"Newspaper",4,"Duck",4,"middle",FALSE,"left",TRUE,1,FALSE,FALSE,TRUE,"left","right",FALSE,FALSE,TRUE,"left","middle",TRUE
"590b3401182caf0001ab5801","Paper",4,"Umbrella",5,"CD",5,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",FALSE
"65c11389b0d2ba8e63cb8b22","Belt",1,"Toothpaste",5,"Computer",5,"right",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",FALSE
"5d15160539eeea001683830c","Sheep",4,"Barn",2,"Bottle",2,"right",FALSE,"left",FALSE,1,FALSE,FALSE,TRUE,"middle","left",FALSE,TRUE,FALSE,"left","right",FALSE
"6620b6a209127dafd5b2dfb9","Leg",5,"Scooter",1,"Swimsuit",1,"left",FALSE,"right",FALSE,1,TRUE,FALSE,FALSE,"left","middle",FALSE,FALSE,TRUE,"right","left",FALSE
"56c65a5a305eaa0005f2a634","Meat",4,"House",5,"Button",5,"left",FALSE,"middle",TRUE,1,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","left",FALSE
"59fb1518b47dfc0001b6659b","Vacuum",3,"Stars",2,"Giraffe",2,"left",FALSE,"right",TRUE,1,FALSE,FALSE,TRUE,"right","middle",FALSE,FALSE,TRUE,"right","left",FALSE
"602c0fc2eff74b4748e9b41e","Money",1,"Candle",5,"Chips",5,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",FALSE
"5bcc98d1db645700015222b5","Hips",4,"Wagon",1,"Blanket",1,"middle",FALSE,"left",TRUE,1,FALSE,FALSE,TRUE,"left","right",FALSE,FALSE,TRUE,"left","middle",FALSE
"6773e6e6b205d22a2e097735","Cupcake",4,"Magazine",2,"Snake",2,"right",FALSE,"left",FALSE,1,FALSE,FALSE,TRUE,"middle","left",FALSE,TRUE,FALSE,"left","right",FALSE
"67505c42a18c872bab88ed42","Sheep",5,"Octopus",5,"Tie",5,"right",FALSE,"right",TRUE,1,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",FALSE
"62a1e021702679d27813a3e2","Swimsuit",2,"Bell",5,"Sticker",5,"right",FALSE,"left",TRUE,1,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","right",FALSE
"639f294882a3797f77a3dd81","Window",2,"Shoes",3,"Napkin",3,"right",FALSE,"middle",FALSE,1,FALSE,TRUE,FALSE,"left","left",FALSE,FALSE,TRUE,"middle","right",FALSE
"654bc148c95bca00d541ec33","Corn",4,"Stamps",3,"Butter",3,"right",FALSE,"left",TRUE,1,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","right",TRUE
"5d23460ad4c57900192b129c","Zipper",1,"Fly",4,"Boots",4,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",FALSE
"67673cda94b4d0cf1a6a7382","Popcorn",5,"Sandwich",1,"Octopus",1,"right",FALSE,"left",TRUE,1,FALSE,FALSE,TRUE,"left","middle",FALSE,FALSE,TRUE,"left","right",FALSE
"5c4f5967aac8be0001716a65","Cheese",5,"Teapot",4,"Feet",4,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",FALSE
"67758c9a30d6819221153393","Stove",5,"Battery",3,"Refrigerator",3,"left",FALSE,"left",FALSE,1,FALSE,FALSE,TRUE,"middle","right",TRUE,FALSE,FALSE,"left","left",FALSE
"66b37344796f45313433abc8","Bone",5,"Battery",1,"Pants",1,"right",FALSE,"middle",TRUE,1,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","right",FALSE
"632096b5574155e8727c50cc","Pizza",1,"Glasses",1,"Kangaroo",1,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","right",TRUE,FALSE,FALSE,"middle","middle",FALSE
"66dcc0e54f44ccecf2730c76","Octopus",1,"Movie",1,"Carrots",1,"right",FALSE,"right",TRUE,1,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",TRUE
"60fac7ec133b6bf250d6d668","Shovel",2,"Lion",3,"Hoop",3,"middle",FALSE,"middle",TRUE,1,TRUE,FALSE,FALSE,"middle","right",TRUE,FALSE,FALSE,"middle","middle",FALSE
"5e459f61418f610891628564","Pan",5,"Bike",2,"Chalk",2,"middle",FALSE,"left",FALSE,1,FALSE,TRUE,FALSE,"right","right",FALSE,FALSE,TRUE,"left","middle",FALSE
"5e89ec793c01b3685a00bb12","Barn",3,"Table",5,"Net",5,"right",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",FALSE
"631d197eba06364cbea7fab2","Stove",4,"Stool",1,"Scissors",1,"left",FALSE,"right",TRUE,1,FALSE,FALSE,TRUE,"right","middle",FALSE,FALSE,TRUE,"right","left",TRUE
"66fd3f6c93c24ecc119be354","Monkey",5,"Glue",3,"Toilet",3,"right",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",TRUE
"5af1a4bc6e136b0001411714","Glove",2,"Fish",4,"Giraffe",4,"right",FALSE,"left",TRUE,1,FALSE,FALSE,TRUE,"left","middle",FALSE,FALSE,TRUE,"left","right",FALSE
"60ed501279c68ea1a313d0aa","Soap",3,"Clock",2,"Clown",2,"left",FALSE,"left",TRUE,1,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",FALSE
"5bf2f728bd9f150001f6cc42","Ostrich",3,"Ice Cream",1,"Zipper",1,"right",FALSE,"right",FALSE,1,FALSE,FALSE,TRUE,"left","middle",TRUE,FALSE,FALSE,"right","right",FALSE
"59a734ce0c87a000017481ed","Pear",5,"Toothpaste",3,"Barn",3,"left",TRUE,"middle",FALSE,1,TRUE,FALSE,FALSE,"left","right",FALSE,FALSE,TRUE,"middle","left",FALSE
"615e420a23219efe3427a367","Popsicle",4,"Ankle",2,"Coloring Book",2,"left",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",FALSE
"66b244a2f436437d3e109bbe","Stars",3,"Watch",3,"Cereal",3,"left",FALSE,"left",TRUE,1,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",TRUE
"5f1b05a8703c380d1393bb27","Mountain",2,"Pan",4,"Tummy",4,"left",FALSE,"middle",TRUE,1,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",FALSE
"6684497541f835bd67a199b2","Puppets",4,"Bird",5,"Tractor",5,"right",FALSE,"right",FALSE,1,FALSE,FALSE,TRUE,"middle","left",TRUE,FALSE,FALSE,"right","right",FALSE
"5eeddefa177a7322144cbc5e","Backpack",3,"Helicopter",4,"Duck",4,"left",FALSE,"left",FALSE,1,FALSE,TRUE,FALSE,"middle","middle",TRUE,FALSE,FALSE,"left","left",FALSE
"63ee9abfa262bea95766dd9c","Head",4,"Paper",5,"Square",5,"right",FALSE,"middle",FALSE,1,FALSE,TRUE,FALSE,"left","left",FALSE,FALSE,TRUE,"middle","right",TRUE
