"subj_id","trial_num","left_word","left_number","middle_word","middle_number","right_word","right_number","chose_gems","chose_onlystones","chose_other","response_position","correct_choice_position","computer_chose_gems","computer_chose_onlystones","computer_chose_other","is_catch_trial","is_show_trial","stoneposition","emeraldposition","rt","choice_rt","reveal_rt","comprehension_failures_part1","number_correct_part1","computer_response_position","number_correct_part1_computer","mentioned_rule","is_consistent","is_consistent_computer","confidence","confidence_rt","comprehension_failures_part2_1","comprehension_failures_part2_2","comprehension_failures_part2_3","comprehension_failures_part2_4","number_correct_part2","part1_response_position","computer_response_position_p1","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt_p2","choice_rt_p2"
"6720fbc84253185973cbe564",1,"Mouth",4,"Can",1,"Hoop",5,FALSE,TRUE,FALSE,"right","middle",FALSE,FALSE,TRUE,FALSE,TRUE,"right","[""left"",""middle""]",NA,4389.30000001192,816.599999964237,0,20,"left",13,TRUE,FALSE,TRUE,24,1590.70000004768,0,0,0,0,30,"right","left",FALSE,FALSE,TRUE,"left","middle",NA,2380.39999997616
"56e967b74c71f00005d78743",1,"Head",2,"Hanger",2,"Cherry",2,TRUE,FALSE,FALSE,"right","right",FALSE,TRUE,FALSE,TRUE,TRUE,"left","[""middle"",""right""]",NA,1816.79999999702,1452.29999999702,1,33,"left",17,FALSE,TRUE,FALSE,100,2199.20000000298,0,0,0,0,35,"right","left",TRUE,FALSE,FALSE,"right","right",NA,1511.09999999404
"5cf6ee10d5478e0001da72bd",1,"Octopus",1,"Stove",5,"Crayons",2,FALSE,TRUE,FALSE,"right","middle",FALSE,FALSE,TRUE,FALSE,TRUE,"right","[""left"",""middle""]",NA,2731,1373.20000001788,1,20,"left",13,FALSE,TRUE,FALSE,25,1635.30000001192,0,0,0,0,26,"right","left",FALSE,TRUE,FALSE,"right","middle",NA,2731.59999999404
"6120e3a34f6ad742437d6c95",1,"Fish",4,"Pirate",5,"Dolls",3,FALSE,FALSE,TRUE,"right","left",FALSE,TRUE,FALSE,FALSE,TRUE,"middle","[""left"",""right""]",NA,3198.5,906.100000023842,0,18,"middle",20,FALSE,FALSE,FALSE,36,1457.60000002384,0,0,0,0,42,"right","middle",TRUE,FALSE,FALSE,"left","left",NA,2035.5
"594016e06ee2c800016c09d1",1,"Puppets",3,"Leaf",3,"Rock",4,FALSE,FALSE,TRUE,"middle","right",FALSE,TRUE,FALSE,FALSE,TRUE,"left","[""middle"",""right""]",NA,5139.09999999963,1395.89999999991,1,31,"left",16,FALSE,TRUE,FALSE,35,3545,0,0,0,0,14,"middle","left",FALSE,FALSE,TRUE,"middle","right",NA,3090.89999999991
"5791dae225cb71000128ad5b",1,"Taco",2,"Rabbit",2,"Zipper",1,FALSE,FALSE,TRUE,"middle","right",FALSE,TRUE,FALSE,FALSE,TRUE,"left","[""middle"",""right""]",NA,3186.79999995232,1396.10000014305,0,18,"left",16,FALSE,TRUE,FALSE,74,1632.5,0,0,0,0,29,"middle","left",FALSE,FALSE,TRUE,"middle","right",NA,2344.90000009537
"67696d49d386c9789b03b1da",1,"Fence",1,"Cable",2,"Stamps",3,FALSE,FALSE,TRUE,"left","middle",FALSE,TRUE,FALSE,FALSE,TRUE,"right","[""left"",""middle""]",NA,3529.30000000447,1368.5,0,32,"right",18,FALSE,FALSE,TRUE,23,1572.79999999702,0,0,0,0,20,"left","right",FALSE,TRUE,FALSE,"right","middle",NA,2924
"67db4c889794c3be29370b1d",1,"Snake",1,"Hammer",5,"Drum",1,TRUE,FALSE,FALSE,"middle","middle",FALSE,FALSE,TRUE,FALSE,TRUE,"right","[""left"",""middle""]",NA,4681.10000002384,2571.79999995232,0,28,"left",17,FALSE,TRUE,FALSE,100,3019.69999998808,0,0,0,0,48,"middle","left",TRUE,FALSE,FALSE,"middle","middle",NA,3030.19999998808
"60cf0d251a90eb823bc9b740",1,"Heart",2,"Squirrel",5,"Soap",4,FALSE,TRUE,FALSE,"right","middle",FALSE,FALSE,TRUE,FALSE,TRUE,"right","[""left"",""middle""]",NA,4034.79999995232,1382.20000004768,0,16,"left",20,FALSE,TRUE,FALSE,100,1378.19999998808,0,0,0,0,48,"right","left",FALSE,TRUE,FALSE,"right","middle",NA,2430.39999997616
"63469662d9e84d379f52c166",1,"Flashlight",2,"Hoop",3,"Hamburger",2,FALSE,TRUE,FALSE,"middle","right",FALSE,FALSE,TRUE,FALSE,TRUE,"middle","[""left"",""right""]",NA,7852.10000000056,1729.90000000037,0,20,"left",20,FALSE,TRUE,FALSE,63,4007.09999999963,0,1,0,0,30,"middle","left",FALSE,TRUE,FALSE,"middle","right",NA,5067.19999999925
"5cf6e4aae289a80019b6e032",1,"Tape",4,"Sheep",4,"Curtain",2,TRUE,FALSE,FALSE,"left","left",FALSE,TRUE,FALSE,FALSE,TRUE,"right","[""left"",""middle""]",NA,5024.89999999991,1874.59999999963,0,30,"right",18,FALSE,TRUE,FALSE,95,2567.29999999981,0,0,0,0,28,"left","right",TRUE,FALSE,FALSE,"left","left",NA,6316.79999999981
"5bb609520cb04c00014efb8a",1,"Lamp",3,"Waffle",5,"Grass",5,FALSE,FALSE,TRUE,"right","left",TRUE,FALSE,FALSE,FALSE,TRUE,"middle","[""left"",""right""]",NA,4225.79999999981,1047.60000000009,0,8,"left",35,FALSE,FALSE,FALSE,65,3227.70000000019,0,0,0,0,30,"right","left",FALSE,TRUE,FALSE,"middle","left",NA,3829.89999999991
"61282ca83be28773ac7c421f",1,"Shampoo",3,"Mountain",4,"Bathtub",1,FALSE,TRUE,FALSE,"middle","left",FALSE,FALSE,TRUE,FALSE,TRUE,"middle","[""left"",""right""]",NA,16256.5,2370.5,0,30,"right",20,TRUE,TRUE,FALSE,60,5903.70000000019,0,0,0,0,20,"middle","right",FALSE,TRUE,FALSE,"middle","left",NA,4024.90000000037
"5ee637a18976fc391312fe01",1,"Fence",5,"Airplane",2,"Monkey",3,FALSE,TRUE,FALSE,"right","left",FALSE,FALSE,TRUE,FALSE,TRUE,"right","[""left"",""middle""]",NA,3464.39999999851,1634.80000000075,0,20,"middle",22,FALSE,TRUE,FALSE,9,2241.80000000075,0,0,0,0,43,"right","middle",FALSE,TRUE,FALSE,"right","left",NA,4443
